
 !***TRACE Bacon number     1 on file (43)***

 I         225 X  5.01383E+02 Y  6.64362E+01 Z  9.25000E+01 AT           0
 I         226 X  5.01383E+02 Y  6.64362E+01 Z  1.00000E+02 AT           0
 I         227 X  5.01383E+02 Y  6.64362E+01 Z  1.07500E+02 AT           0
 I         228 X  5.01383E+02 Y  6.64362E+01 Z  1.15000E+02 AT           0
 I         229 X  5.01383E+02 Y  6.64362E+01 Z  1.22500E+02 AT           0
 I         230 X  5.01383E+02 Y  6.64362E+01 Z  1.30000E+02 AT           0
 I         231 X  5.01383E+02 Y  6.64362E+01 Z  1.37500E+02 AT           0
 I         232 X  5.01383E+02 Y  6.64362E+01 Z  1.45000E+02 AT           0
 I         233 X  5.01383E+02 Y  6.64362E+01 Z  1.52500E+02 AT           0
 I         234 X  5.01383E+02 Y  6.64362E+01 Z  1.60000E+02 AT           0
 I         235 X  5.01383E+02 Y  6.64362E+01 Z  1.67500E+02 AT           0
 I         236 X  5.01383E+02 Y  6.64362E+01 Z  1.75000E+02 AT           0
 I         237 X  4.93786E+02 Y  6.77024E+01 Z  2.50000E+01 AT           0
 I         238 X  4.93786E+02 Y  6.77024E+01 Z  4.00000E+01 AT           0
 I         239 X  4.93786E+02 Y  6.77024E+01 Z  5.50000E+01 AT           0
 I         240 X  4.93786E+02 Y  6.77024E+01 Z  7.00000E+01 AT           0
 I         241 X  4.93786E+02 Y  6.77024E+01 Z  8.50000E+01 AT           0
 I         242 X  4.93786E+02 Y  6.77024E+01 Z  1.00000E+02 AT           0
 I         243 X  4.93786E+02 Y  6.77024E+01 Z  1.15000E+02 AT           0
 I         244 X  4.93786E+02 Y  6.77024E+01 Z  1.30000E+02 AT           0
 I         245 X  4.93786E+02 Y  6.77024E+01 Z  1.45000E+02 AT           0
 I         246 X  4.93786E+02 Y  6.77024E+01 Z  1.60000E+02 AT           0
 I         247 X  4.93786E+02 Y  6.77024E+01 Z  1.75000E+02 AT           0
 I         248 X  4.86189E+02 Y  6.89685E+01 Z  2.50000E+01 AT           0
 I         249 X  4.86189E+02 Y  6.89685E+01 Z  3.25000E+01 AT           0
 I         250 X  4.86189E+02 Y  6.89685E+01 Z  4.00000E+01 AT           0
 I         251 X  4.86189E+02 Y  6.89685E+01 Z  4.75000E+01 AT           0
 I         252 X  4.86189E+02 Y  6.89685E+01 Z  5.50000E+01 AT           0
 I         253 X  4.86189E+02 Y  6.89685E+01 Z  6.25000E+01 AT           0
 I         254 X  4.86189E+02 Y  6.89685E+01 Z  7.00000E+01 AT           0
 I         255 X  4.86189E+02 Y  6.89685E+01 Z  7.75000E+01 AT           0
