
 !***TRACE Bacon number     1 on file (47)***


 (1.n)= n (average) component(s) per node
 (2.n)= n (average) component(s) per element
 (3.n)= n component(s) per node per element

 --------------------------------------------------
 | Nodes |           Displ.(X,Y,Z)(1.3)           |
 |   309 |  2.20828E-02  1.08698E-01 -9.39024E-02 |
 |   310 |  2.90864E-02  1.41511E-01 -9.38695E-02 |
 |   311 |  3.59806E-02  1.71537E-01 -9.37276E-02 |
 |   312 | -3.66765E-02 -1.74272E-01 -9.20076E-02 |
 |   313 | -3.31505E-02 -1.59124E-01 -9.20470E-02 |
 |   314 | -2.96245E-02 -1.43976E-01 -9.20864E-02 |
 |   315 | -2.60346E-02 -1.27229E-01 -9.20938E-02 |
 |   316 | -2.24448E-02 -1.10482E-01 -9.21011E-02 |
 |   317 | -1.87663E-02 -9.26268E-02 -9.20934E-02 |
 |   318 | -1.50878E-02 -7.47720E-02 -9.20856E-02 |
 |   319 | -1.13328E-02 -5.62060E-02 -9.20772E-02 |
 |   320 | -7.57787E-03 -3.76399E-02 -9.20688E-02 |
 |   321 | -3.77905E-03 -1.87280E-02 -9.20648E-02 |
 |   322 |  1.97623E-05  1.83927E-04 -9.20609E-02 |
 |   323 |  3.81448E-03  1.90822E-02 -9.20671E-02 |
 |   324 |  7.60919E-03  3.79804E-02 -9.20733E-02 |
 |   325 |  1.13596E-02  5.65090E-02 -9.20832E-02 |
 |   326 |  1.51099E-02  7.50375E-02 -9.20932E-02 |
 |   327 |  1.87806E-02  9.28433E-02 -9.21001E-02 |
 |   328 |  2.24512E-02  1.10649E-01 -9.21070E-02 |
 |   329 |  2.60399E-02  1.27350E-01 -9.20992E-02 |
 |   330 |  2.96285E-02  1.44050E-01 -9.20915E-02 |
 |   331 |  3.31582E-02  1.59166E-01 -9.20480E-02 |
 |   332 |  3.66878E-02  1.74282E-01 -9.20046E-02 |
 |   333 | -3.71451E-02 -1.76787E-01 -9.02741E-02 |
 |   334 | -3.00152E-02 -1.46164E-01 -9.02922E-02 |
 |   335 | -2.27297E-02 -1.12145E-01 -9.02924E-02 |
 |   336 | -1.52692E-02 -7.58721E-02 -9.02809E-02 |
 |   337 | -7.66532E-03 -3.81905E-02 -9.02683E-02 |
 |   338 |  1.64714E-05  1.66465E-04 -9.02635E-02 |
 |   339 |  7.69396E-03  3.84992E-02 -9.02711E-02 |
 |   340 |  1.52884E-02  7.61153E-02 -9.02847E-02 |
 |   341 |  2.27383E-02  1.12301E-01 -9.02951E-02 |
 |   342 |  3.00202E-02  1.46235E-01 -9.02921E-02 |
 |   343 |  3.71560E-02  1.76798E-01 -9.02708E-02 |
