
 !***TRACE Bacon number     1 on file (49)***


 (1.n)= n (average) component(s) per node
 (2.n)= n (average) component(s) per element
 (3.n)= n component(s) per node per element

 --------------------------------
 | Elements | V. Mises:U.S(2.1) |
 |      428 |       3.21171E+00 |
 |      429 |       3.14739E+00 |
 |      430 |       2.91886E+00 |
 |      431 |       2.42694E+00 |
 |      432 |       2.65711E+00 |
 |      433 |       3.80023E+00 |
 |      434 |       5.83918E+00 |
 |      435 |       8.49307E+00 |
 |      436 |       1.14675E+01 |
 |      437 |       1.46781E+01 |
 |      438 |       1.83393E+01 |
 |      439 |       2.32382E+01 |
 |      440 |       2.89945E+01 |
 |      441 |       1.80384E+01 |
 |      442 |       1.23805E+01 |
 |      443 |       8.48759E+00 |
 |      444 |       6.71050E+00 |
 |      445 |       5.38104E+00 |
 |      446 |       5.02097E+00 |
 |      447 |       5.04769E+00 |
 |      448 |       4.59085E+00 |
 |      449 |       4.07804E+00 |
 |      450 |       4.34820E+00 |
 |      451 |       4.25426E+00 |
 |      452 |       4.14692E+00 |
 |      453 |       3.96326E+00 |
 |      454 |       3.89822E+00 |
 |      455 |       3.77156E+00 |
 |      456 |       3.68348E+00 |
 |      457 |       3.64839E+00 |
 |      458 |       3.59499E+00 |
 |      459 |       3.54791E+00 |
 |      460 |       3.48047E+00 |
 |      461 |       3.41955E+00 |
 |      462 |       3.21071E+00 |
 |      463 |       3.14952E+00 |
 |      464 |       2.92372E+00 |
 |      465 |       2.42706E+00 |
 |      466 |       2.65597E+00 |
 |      467 |       3.78720E+00 |
 |      468 |       5.82644E+00 |
 |      469 |       8.48951E+00 |
 |      470 |       1.14687E+01 |
 |      471 |       1.46803E+01 |
 |      472 |       1.83414E+01 |
 |      473 |       2.32408E+01 |
 |      474 |       2.89966E+01 |
 |      475 |       3.40124E+01 |
 |      476 |       1.42986E+01 |
 |      477 |       3.77801E+01 |
 |      478 |       2.48274E+01 |
 |      479 |       4.34868E+01 |
 |      480 |       4.08856E+01 |
 |      481 |       4.89216E+01 |
 |      482 |       5.90633E+01 |
 |      483 |       5.05854E+01 |
 |      484 |       7.62377E+01 |
 |      485 |       4.90899E+01 |
 |      486 |       8.95152E+01 |
 |      487 |       4.77525E+01 |
 |      488 |       9.72464E+01 |
 |      489 |       5.22040E+01 |
 |      490 |       9.86002E+01 |
 |      491 |       5.90891E+01 |
 |      492 |       9.01883E+01 |
 |      493 |       6.00327E+01 |
 |      494 |       7.92522E+01 |
 |      495 |       5.63567E+01 |
 |      496 |       7.21343E+01 |
 |      497 |       5.19853E+01 |
 |      498 |       6.63170E+01 |
 |      499 |       4.77994E+01 |
 |      500 |       6.06662E+01 |
 |      501 |       4.30719E+01 |
 |      502 |       5.50498E+01 |
 |      503 |       3.90479E+01 |
 |      504 |       4.92400E+01 |
 |      505 |       3.48667E+01 |
 |      506 |       4.35217E+01 |
 |      507 |       3.06369E+01 |
 |      508 |       3.78777E+01 |
 |      509 |       2.67664E+01 |
 |      510 |       3.22870E+01 |
 |      511 |       2.27844E+01 |
 |      512 |       2.66827E+01 |
 |      513 |       1.90345E+01 |
 |      514 |       2.10514E+01 |
 |      515 |       1.56220E+01 |
 |      516 |       1.55150E+01 |
 |      517 |       1.26942E+01 |
 |      518 |       1.00387E+01 |
 |      519 |       1.07310E+01 |
 |      520 |       4.85023E+00 |
 |      521 |       1.03723E+01 |
 |      522 |       3.01425E+00 |
 |      523 |       1.16829E+01 |
 |      524 |       7.59291E+00 |
 |      525 |       1.42206E+01 |
 |      526 |       1.30032E+01 |
 |      527 |       1.75026E+01 |
 |      528 |       1.85935E+01 |
 |      529 |       2.12144E+01 |
 |      530 |       2.41864E+01 |
 |      531 |       2.50611E+01 |
 |      532 |       2.97175E+01 |
 |      533 |       2.90787E+01 |
 |      534 |       3.52459E+01 |
 |      535 |       3.30947E+01 |
 |      536 |       4.08417E+01 |
 |      537 |       3.72532E+01 |
 |      538 |       4.66778E+01 |
 |      539 |       4.12587E+01 |
 |      540 |       5.30732E+01 |
 |      541 |       4.32453E+01 |
 |      542 |       6.12467E+01 |
 |      543 |       4.18736E+01 |
 |      544 |       6.87186E+01 |
 |      545 |       4.04894E+01 |
 |      546 |       7.10584E+01 |
 |      547 |       4.00277E+01 |
 |      548 |       6.82458E+01 |
 |      549 |       3.94119E+01 |
 |      550 |       6.11449E+01 |
 |      551 |       3.74130E+01 |
 |      552 |       5.10868E+01 |
 |      553 |       3.34688E+01 |
 |      554 |       3.98424E+01 |
 |      555 |       2.77449E+01 |
 |      556 |       2.88059E+01 |
 |      557 |       2.16296E+01 |
 |      558 |       1.90185E+01 |
 |      559 |       1.53399E+01 |
 |      560 |       1.12042E+01 |
 |      561 |       9.72028E+00 |
 |      562 |       5.71315E+00 |
 |      563 |       5.37865E+00 |
 |      564 |       2.28526E+00 |
 |      565 |       2.62158E+00 |
 |      566 |       1.16261E+00 |
 |      567 |       1.07357E+00 |
 |      568 |       7.46740E-01 |
 |      569 |       3.13892E-01 |
 |      570 |       5.07958E-01 |
 |      571 |       2.09628E-01 |
 |      572 |       4.80610E-01 |
 |      573 |       7.15294E-01 |
 |      574 |       6.37241E-01 |
 |      575 |       1.65724E+00 |
 |      576 |       8.90589E-01 |
 |      577 |       3.22276E+00 |
 |      578 |       1.32846E+00 |
 |      579 |       5.67556E+00 |
 |      580 |       2.48436E+00 |
 |      581 |       9.69272E+00 |
 |      582 |       5.71804E+00 |
 |      583 |       1.53171E+01 |
 |      584 |       1.12210E+01 |
 |      585 |       2.16520E+01 |
 |      586 |       1.90156E+01 |
 |      587 |       2.76217E+01 |
 |      588 |       2.87798E+01 |
 |      589 |       3.36535E+01 |
 |      590 |       3.98394E+01 |
 |      591 |       3.73256E+01 |
 |      592 |       5.12721E+01 |
 |      593 |       3.96903E+01 |
 |      594 |       6.12181E+01 |
 |      595 |       4.02704E+01 |
 |      596 |       6.83698E+01 |
 |      597 |       4.06022E+01 |
 |      598 |       7.12173E+01 |
 |      599 |       4.19289E+01 |
 |      600 |       6.88609E+01 |
 |      601 |       4.32837E+01 |
 |      602 |       6.13510E+01 |
 |      603 |       4.13088E+01 |
 |      604 |       5.31392E+01 |
 |      605 |       3.72920E+01 |
 |      606 |       4.67315E+01 |
 |      607 |       3.31259E+01 |
 |      608 |       4.08788E+01 |
 |      609 |       2.91030E+01 |
 |      610 |       3.52691E+01 |
 |      611 |       2.50770E+01 |
 |      612 |       2.97299E+01 |
 |      613 |       2.12255E+01 |
 |      614 |       2.41850E+01 |
 |      615 |       1.75077E+01 |
 |      616 |       1.85788E+01 |
 |      617 |       1.42233E+01 |
 |      618 |       1.29761E+01 |
 |      619 |       1.16910E+01 |
 |      620 |       7.55540E+00 |
 |      621 |       1.03935E+01 |
 |      622 |       2.99351E+00 |
 |      623 |       1.07706E+01 |
 |      624 |       4.91421E+00 |
 |      625 |       1.27519E+01 |
 |      626 |       1.01215E+01 |
 |      627 |       1.56910E+01 |
 |      628 |       1.56125E+01 |
 |      629 |       1.91169E+01 |
 |      630 |       2.11617E+01 |
 |      631 |       2.28741E+01 |
 |      632 |       2.68075E+01 |
 |      633 |       2.68682E+01 |
 |      634 |       3.24248E+01 |
 |      635 |       3.07484E+01 |
 |      636 |       3.80283E+01 |
 |      637 |       3.49849E+01 |
 |      638 |       4.36869E+01 |
 |      639 |       3.91789E+01 |
 |      640 |       4.94177E+01 |
 |      641 |       4.32113E+01 |
 |      642 |       5.52410E+01 |
 |      643 |       4.79523E+01 |
 |      644 |       6.08718E+01 |
 |      645 |       5.21436E+01 |
 |      646 |       6.65365E+01 |
 |      647 |       5.65318E+01 |
 |      648 |       7.23671E+01 |
 |      649 |       6.02006E+01 |
 |      650 |       7.95090E+01 |
 |      651 |       5.92483E+01 |
 |      652 |       9.04877E+01 |
 |      653 |       5.23404E+01 |
 |      654 |       9.89329E+01 |
 |      655 |       4.79299E+01 |
 |      656 |       9.75726E+01 |
 |      657 |       4.94042E+01 |
 |      658 |       8.97682E+01 |
 |      659 |       5.10902E+01 |
 |      660 |       7.63212E+01 |
 |      661 |       4.94323E+01 |
 |      662 |       5.88994E+01 |
 |      663 |       4.37529E+01 |
 |      664 |       4.03517E+01 |
 |      665 |       3.64837E+01 |
 |      666 |       2.11771E+01 |
 |      667 |       3.23175E+01 |
 |      668 |       9.70307E+00 |
 |      669 |       3.23281E+01 |
 |      670 |       9.71401E+00 |
 |      671 |       3.64998E+01 |
 |      672 |       2.12237E+01 |
 |      673 |       4.37204E+01 |
 |      674 |       4.05171E+01 |
 |      675 |       4.94198E+01 |
 |      676 |       5.89785E+01 |
 |      677 |       5.03578E+01 |
 |      678 |       7.62876E+01 |
 |      679 |       4.93947E+01 |
 |      680 |       8.95440E+01 |
 |      681 |       4.81629E+01 |
 |      682 |       9.73895E+01 |
 |      683 |       5.24628E+01 |
 |      684 |       9.87884E+01 |
 |      685 |       5.93207E+01 |
 |      686 |       9.04477E+01 |
 |      687 |       6.01923E+01 |
 |      688 |       7.95265E+01 |
 |      689 |       5.65352E+01 |
 |      690 |       7.23730E+01 |
 |      691 |       5.21346E+01 |
 |      692 |       6.65413E+01 |
 |      693 |       4.79481E+01 |
 |      694 |       6.08711E+01 |
 |      695 |       4.32107E+01 |
 |      696 |       5.52408E+01 |
 |      697 |       3.91756E+01 |
 |      698 |       4.94184E+01 |
 |      699 |       3.49851E+01 |
 |      700 |       4.36862E+01 |
 |      701 |       3.07491E+01 |
 |      702 |       3.80299E+01 |
 |      703 |       2.68681E+01 |
 |      704 |       3.24271E+01 |
 |      705 |       2.28752E+01 |
 |      706 |       2.68110E+01 |
 |      707 |       1.91188E+01 |
 |      708 |       2.11659E+01 |
 |      709 |       1.56921E+01 |
 |      710 |       1.56178E+01 |
 |      711 |       1.27527E+01 |
 |      712 |       1.01276E+01 |
 |      713 |       1.07697E+01 |
 |      714 |       4.92042E+00 |
 |      715 |       1.03900E+01 |
 |      716 |       2.98783E+00 |
 |      717 |       1.16852E+01 |
 |      718 |       7.54510E+00 |
 |      719 |       1.42162E+01 |
 |      720 |       1.29646E+01 |
 |      721 |       1.74993E+01 |
 |      722 |       1.85658E+01 |
 |      723 |       2.12151E+01 |
 |      724 |       2.41707E+01 |
 |      725 |       2.50671E+01 |
 |      726 |       2.97140E+01 |
 |      727 |       2.90928E+01 |
 |      728 |       3.52543E+01 |
 |      729 |       3.31148E+01 |
 |      730 |       4.08627E+01 |
 |      731 |       3.72827E+01 |
 |      732 |       4.67112E+01 |
 |      733 |       4.12964E+01 |
 |      734 |       5.31204E+01 |
 |      735 |       4.32895E+01 |
 |      736 |       6.13108E+01 |
 |      737 |       4.19191E+01 |
 |      738 |       6.87997E+01 |
 |      739 |       4.05323E+01 |
 |      740 |       7.11490E+01 |
 |      741 |       4.00706E+01 |
 |      742 |       6.83414E+01 |
 |      743 |       3.94604E+01 |
 |      744 |       6.12339E+01 |
 |      745 |       3.74606E+01 |
 |      746 |       5.11713E+01 |
 |      747 |       3.35179E+01 |
 |      748 |       3.99080E+01 |
 |      749 |       2.78146E+01 |
 |      750 |       2.88519E+01 |
 |      751 |       2.16438E+01 |
 |      752 |       1.90548E+01 |
 |      753 |       1.53645E+01 |
 |      754 |       1.12555E+01 |
 |      755 |       9.75788E+00 |
 |      756 |       5.76027E+00 |
 |      757 |       5.70806E+00 |
 |      758 |       2.50741E+00 |
 |      759 |       3.22780E+00 |
 |      760 |       1.33261E+00 |
 |      761 |       1.64654E+00 |
 |      762 |       8.98139E-01 |
 |      763 |       7.02796E-01 |
 |      764 |       6.49385E-01 |
 |      765 |       2.10317E-01 |
 |      766 |       4.91565E-01 |
 |      767 |       2.32471E-01 |
 |      768 |       4.98399E-01 |
 |      769 |       7.53134E-01 |
 |      770 |       6.65369E-01 |
 |      771 |       1.68759E+00 |
 |      772 |       9.17199E-01 |
 |      773 |       3.29228E+00 |
 |      774 |       1.34466E+00 |
 |      775 |       5.72980E+00 |
 |      776 |       2.51919E+00 |
 |      777 |       9.73217E+00 |
 |      778 |       5.73993E+00 |
 |      779 |       1.53304E+01 |
 |      780 |       1.12225E+01 |
 |      781 |       2.16049E+01 |
 |      782 |       1.90052E+01 |
 |      783 |       2.77748E+01 |
 |      784 |       2.87911E+01 |
 |      785 |       3.34739E+01 |
 |      786 |       3.98368E+01 |
 |      787 |       3.74158E+01 |
 |      788 |       5.10906E+01 |
